Time;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18
05_02_2023_11_51_05;38.93533333333333;86.048;0.0;37.0;61.0;89.56466666666667;92.0;89.0;0.0;0.0;58.0;67.846;97.0;94.99266666666666;95.0;76.23133333333334;75.98533333333333;83.96666666666667
05_02_2023_11_56_05;38.958666666666666;86.05533333333334;0.0;37.0;61.0;89.40933333333334;92.0;89.0;0.0;0.0;58.0;67.84733333333334;97.0;94.984;95.0;76.52466666666666;75.996;83.97333333333333
05_02_2023_12_06_04;32.55466666666667;88.84866666666667;0.0033333333333333335;37.0;61.0;92.946;92.0;89.0;0.0;0.0;58.0;67.962;97.0;94.996;95.0;76.93266666666666;75.94866666666667;84.04066666666667
05_02_2023_12_11_04;32.622;88.83;0.006666666666666667;37.0;61.0;92.95466666666667;92.0;89.0;0.0;0.0;58.0;67.98266666666666;97.0;94.99266666666666;95.0;76.91333333333333;75.93466666666667;84.03666666666666
05_02_2023_12_16_05;32.52066666666666;88.882;0.0;37.0;61.0;92.968;92.0;89.0;0.0;0.0;58.0;67.98333333333333;97.0;94.988;95.0;76.93;75.88333333333334;84.02466666666666
05_02_2023_12_21_05;32.57866666666666;88.854;0.0033333333333333335;37.0;61.0;92.96066666666667;92.0;89.0;0.0;0.0;58.0;67.98733333333334;97.0;94.978;95.0;76.888;75.818;84.018
05_02_2023_12_26_05;32.51266666666667;88.73533333333333;0.0;37.0;61.0;92.95666666666666;92.0;89.0;0.0;0.0;58.0;67.98666666666666;97.0;94.988;95.0;76.918;75.872;84.02133333333333
05_02_2023_12_31_05;32.51733333333333;88.62933333333334;0.0;37.0;61.0;92.95133333333334;92.0;89.0;0.0;0.0;58.0;67.98266666666666;97.0;94.95133333333334;95.0;76.798;75.64333333333333;84.00933333333333
05_02_2023_12_36_05;32.624;88.74866666666667;0.0;37.0;61.0;92.96466666666667;92.0;89.0;0.0;0.0;58.0;67.984;97.0;94.936;95.0;76.85066666666667;75.70133333333334;84.01066666666667
05_02_2023_12_41_04;32.49666666666667;88.642;0.0;37.0;61.0;92.978;92.0;89.0;0.0;0.0;58.0;67.93866666666666;97.0;94.94733333333333;95.0;76.91;75.41666666666667;83.99866666666667
05_02_2023_12_46_04;32.590666666666664;88.614;0.0033333333333333335;37.0;61.0;92.95933333333333;92.0;89.0;0.0;0.0;58.0;67.88333333333334;97.0;94.93733333333333;95.0;76.91666666666667;75.37866666666666;84.002
05_02_2023_12_51_04;32.706;88.49066666666667;0.0;37.0;61.0;92.95533333333333;92.0;89.0;0.0;0.0;58.0;67.878;97.0;94.88333333333334;95.0;76.86066666666666;75.29666666666667;83.99866666666667
05_02_2023_12_56_05;32.602666666666664;88.39466666666667;0.0;37.0;61.0;92.95733333333334;92.0;89.0;0.0;0.0;58.0;67.92266666666667;97.0;94.86266666666667;95.0;76.78266666666667;75.112;83.99733333333333
05_02_2023_13_01_05;32.67066666666667;88.338;0.0;37.0;61.0;92.944;92.0;89.0;0.0;0.0;58.0;67.95;97.0;94.92;95.0;76.86333333333333;75.234;84.00133333333333
05_02_2023_13_06_05;32.75666666666667;88.286;0.0;37.0;61.0;92.94666666666667;92.0;89.0;0.0;0.0;58.0;67.91066666666667;97.0;94.91133333333333;95.0;76.874;75.352;83.99666666666667
05_02_2023_13_11_05;32.647333333333336;88.20866666666667;0.0;37.0;61.0;92.96866666666666;92.0;89.0;0.0;0.0;58.0;67.794;97.0;94.86333333333333;94.994;76.61;74.95266666666667;84.00466666666667
05_02_2023_13_16_05;32.628;88.07533333333333;0.0033333333333333335;37.0;61.0;92.95533333333333;92.0;89.0;0.0;0.0;58.0;67.78533333333333;97.0;94.85866666666666;94.98133333333334;76.51133333333334;74.89;83.99666666666667
05_02_2023_13_21_04;32.669333333333334;87.826;0.0;37.0;61.0;92.93333333333334;92.0;89.0;0.0;0.0;58.0;67.67933333333333;97.0;94.844;94.92333333333333;76.29666666666667;74.97933333333333;83.99733333333333
05_02_2023_13_26_04;32.77333333333333;87.59933333333333;0.0;37.0;61.0;92.92133333333334;92.0;89.0;0.0;0.0;58.0;67.502;97.0;94.83666666666667;94.92533333333333;76.33933333333333;75.05333333333333;84.00266666666667
05_02_2023_13_31_05;32.690666666666665;87.494;0.0;37.0;61.0;92.942;92.0;89.0;0.0;0.0;58.0;67.36133333333333;97.0;94.49133333333333;94.34533333333333;76.09133333333334;75.40933333333334;84.00133333333333
